Stock,Date,Opnprc,Hiprc,Loprc,Clsprc,Volume,Amount,ToverOs,OutShares,Dsmvosd,Dsmvtll,Dretwd,Dretnd,Adjprcwd,Adjprcnd,Trdsta,Ahshrtrd_D,Ahvaltrd_D,PreClosePrice,ChangeRatio,LimitDown,LimitUp,LimitStatus
2594,10/26/2022,260,264.04,255.29,257.87,12641527,3279130696,1.085329,1164764604,300357848.4,467555148,-0.000155,-0.000155,263.161088,257.868942,1,0,0,257.91,-0.000155,232.12,283.7,0
2594,10/27/2022,258.99,260.72,255,255,9776582,2516238985,0.839361,1164764604,297014974,462351428,-0.01113,-0.01113,260.2322,254.998954,1,0,0,257.87,-0.01113,232.08,283.66,0
2594,10/28/2022,253,253,235.81,239.89,26316393,6372054067,2.259374,1164764604,279415380.9,434954839.5,-0.059255,-0.059255,244.812166,239.889016,1,0,0,255,-0.059255,229.5,280.5,0
2594,10/31/2022,237.5,251,237.11,246.67,18794233,4625511532,1.613565,1164764604,287312484.9,447247948,0.028263,0.028263,251.731281,246.668988,1,0,0,239.89,0.028263,215.9,263.88,0
2594,11/1/2022,247.11,262.2,247,261.82,21928271,5620272304,1.882635,1164764604,304958668.6,474717062.3,0.061418,0.061418,267.192135,261.818926,1,0,0,246.67,0.061418,222,271.34,0
2594,11/2/2022,261,271.6,258.36,267.56,18731929,4980989815,1.608216,1164764604,311644417.5,485124502.3,0.021923,0.021923,273.049911,267.558902,1,0,0,261.82,0.021923,235.64,288,0
2594,11/3/2022,265.02,271.76,264.1,267.98,10238397,2747240766,0.87901,1164764604,312133618.6,485886022.3,0.00157,0.00157,273.478529,267.9789,1,0,0,267.56,0.00157,240.8,294.32,0
2594,11/4/2022,268.98,283.02,268,280.2,22488689,6270505264,1.93075,1164764604,326367042,508042628,0.0456,0.0456,285.949264,280.19885,1,0,0,267.98,0.0456,241.18,294.78,0
2594,11/7/2022,275,282.03,272.99,278.88,13584206,3781158420,1.166262,1164764604,324829552.8,505649279.4,-0.004711,-0.004711,284.60218,278.878855,1,0,0,280.2,-0.004711,252.18,308.22,0
2594,11/8/2022,279.45,282.6,273.5,276.41,10563449,2925766812,0.906917,1164764604,321952584.2,501170816.6,-0.008857,-0.008857,282.081499,276.408865,1,0,0,278.88,-0.008857,250.99,306.77,0
2594,11/9/2022,278.15,278.88,268.64,269.63,11194636,3038705770,0.961107,1164764604,314055480.2,488877708,-0.024529,-0.024529,275.162384,269.628893,1,0,0,276.41,-0.024529,248.77,304.05,0
2594,11/10/2022,264.63,264.97,255.8,260.26,15549677,4039239830,1.335006,1164764604,303141635.8,471888559.4,-0.034751,-0.034751,265.600126,260.258931,1,0,0,269.63,-0.034751,242.67,296.59,0
2594,11/11/2022,270.5,272.97,265.16,268.8,16609959,4467701122,1.426036,1164764604,313088725.6,487372799.4,0.032813,0.032813,274.315353,268.798896,1,0,0,260.26,0.032813,234.23,286.29,0
2594,11/14/2022,269.23,272.54,262.76,263.79,11523697,3071390410,0.989358,1164764604,307253254.9,478288953.7,-0.018638,-0.018638,269.202556,263.788917,1,0,0,268.8,-0.018638,241.92,295.68,0
2594,11/15/2022,263.99,268.3,260.1,267,11284835,2985500714,0.968851,1164764604,310992149.3,484109142.3,0.012169,0.012169,272.47842,266.998904,1,0,0,263.79,0.012169,237.41,290.17,0
